CL_target,CD_target,CoP_target,Total_Points_legacy,Total_Points_corrected,Endurance_Score_legacy,Endurance_Score_corrected,Autocross_Score_legacy,Autocross_Score_corrected,Skidpad_Score_legacy,Skidpad_Score_corrected,Accel_Score_legacy,Accel_Score_corrected,DragEnergy_Endurance_kJ_legacy,DragEnergy_Endurance_kJ_corrected,TractiveEnergy_Endurance_kJ_legacy,TractiveEnergy_Endurance_kJ_corrected
0.055,0.03,0.45,388.8587870975616,418.1668298866474,185.58973720555056,194.19908352041676,79.23224438039233,82.02649687386774,72.85702568983483,69.21008715491637,51.179779821783875,72.7311623374465,904.0650682501299,927.6965759239006,2048.956394173276,2174.533066880152
0.035,0.015,0.475,367.5353027619642,404.3605867783903,173.77150673845284,185.80039946158982,73.38070821607796,78.00679014711869,70.62262979214329,67.2840335838674,49.760458015290126,73.26936358581433,436.06901460387996,452.18066731322574,1638.658959451481,1764.4110759473017
0.04,0.015,0.475,375.6622209630802,413.9814782039367,178.04637219894244,190.3787331733266,75.85178297839775,80.26082145488657,70.96180479700968,69.17982149343536,50.80226098873034,74.16210208228823,446.531746799854,462.7630200477979,1679.5887916595825,1808.8372874033623
0.045,0.015,0.475,388.10068520884687,421.68493804320957,184.57354167931194,194.52656791343452,78.91311172583711,82.53348955677282,72.88498062511405,69.61307174895104,51.72905117858375,75.01180882405122,457.67523545871796,472.7262377228937,1720.2809311228775,1851.2976126894343
0.05,0.015,0.475,395.1154504794877,431.50578168182284,188.2836219038975,199.16796468717868,81.04431380835457,84.93112747217522,73.1915346048027,71.56387340696294,52.5959801624329,75.84281611550597,466.3343468026847,483.80437336035334,1751.5086085312928,1895.6150268389501
0.055,0.015,0.475,404.23284543512386,442.3726741600768,192.5582201491466,205.66084326291028,83.11490642199654,88.18304273925405,75.13237082203953,71.86553489673848,53.4273480419412,76.663253261174,477.16075744152215,494.99494920263885,1795.981040141433,1936.1677621687452
0.035,0.0175,0.475,364.86234919644,402.1628266351388,173.0351545253943,184.84315358676594,73.25177065822162,77.42157131600577,69.0229300172033,67.25414249130407,49.55249399562081,72.64395924106307,505.9641492858362,523.6238051752154,1680.547874425438,1803.8007160892753
0.04,0.0175,0.475,374.14963484425334,410.0084158371536,177.35258506870517,189.11145062645306,75.36286557160847,79.70627933430002,70.93463659351082,67.68417422823534,50.499547610428856,73.50651164816519,517.8237717718786,535.403044946814,1722.4177467206207,1848.2034450844449
0.045,0.0175,0.475,386.44793780192674,419.86683759854554,183.78024290161684,193.75204407761075,78.44309414333165,82.15108743409996,72.85697099712334,69.6204723993746,51.36762975985496,74.34323368746024,530.2011219809264,547.7251166354977,1762.2320989443522,1893.5912098354784
0.05,0.0175,0.475,392.4378762862041,429.16269327007296,186.65490554571332,198.06489282971543,80.4221076817335,84.26980825015089,73.163825475377,71.66723696021477,52.1970375833803,75.16075522999185,535.3559568464134,559.5415871462743,1778.2501228916813,1938.107711892033
0.055,0.0175,0.475,401.562157986228,439.932623413521,190.76464130645732,204.58981318920834,82.51716517658629,87.56512059626989,75.27388138430865,71.83836152701252,53.006470118875725,75.93932810103026,546.7083557021293,572.3469152632005,1819.357130948784,1978.3930718266988
0.035,0.02,0.475,361.10877282128814,399.1798041006757,170.57104298493354,183.5546835971689,72.26920994031589,76.7441744022273,68.9891430711319,66.87288749747869,49.27937682490683,72.0080586038008,565.2981717609208,594.1668977010307,1701.584135386539,1843.218763318375
0.04,0.02,0.475,371.59124653109154,407.0183996269718,175.49567491304782,187.86307158396272,74.86710847538743,79.11725863979001,71.07364487625186,67.18173197171782,50.15481826640443,72.85633743150127,582.0523510835238,607.3467926894507,1759.0337672050946,1889.4917527231805
0.045,0.02,0.475,384.0452585947174,416.3030800794756,182.14784914281503,192.19321620106538,78.04430321410776,81.21978421772856,72.86511276903852,69.21008984062873,50.98799346875608,73.67998982005292,596.7365066472192,620.4525559070087,1802.0390071118238,1932.361718807581
0.05,0.02,0.475,391.11490250521996,423.8736464067448,185.91278361045167,196.36146152259408,80.10508817132225,83.53096932049786,73.30373731882347,69.51251952396322,51.79329340462259,74.46869603968972,608.6218363166412,633.5075290883105,1840.1436219365733,1977.0123483469265
