AeroTag,CL_target,CD_target,CoP_target,ErrorMessage,RunNumber
CL_0.120_CD_0.025_CoP_0.400,0.12,0.025,0.4,Lap_Sim_constantAero_T27.m not found.,164
CL_0.130_CD_0.025_CoP_0.400,0.13,0.025,0.4,Lap_Sim_constantAero_T27.m not found.,165
CL_0.140_CD_0.025_CoP_0.400,0.14,0.025,0.4,Lap_Sim_constantAero_T27.m not found.,166
CL_0.040_CD_0.030_CoP_0.400,0.04,0.03,0.4,Lap_Sim_constantAero_T27.m not found.,167
CL_0.050_CD_0.030_CoP_0.400,0.05,0.03,0.4,Lap_Sim_constantAero_T27.m not found.,168
CL_0.060_CD_0.030_CoP_0.400,0.06,0.03,0.4,Lap_Sim_constantAero_T27.m not found.,169
CL_0.070_CD_0.030_CoP_0.400,0.07,0.03,0.4,Lap_Sim_constantAero_T27.m not found.,170
CL_0.080_CD_0.030_CoP_0.400,0.08,0.03,0.4,Lap_Sim_constantAero_T27.m not found.,171
CL_0.090_CD_0.030_CoP_0.400,0.09,0.03,0.4,Lap_Sim_constantAero_T27.m not found.,172
CL_0.100_CD_0.030_CoP_0.400,0.1,0.03,0.4,Lap_Sim_constantAero_T27.m not found.,173
CL_0.110_CD_0.030_CoP_0.400,0.11,0.03,0.4,Lap_Sim_constantAero_T27.m not found.,174
CL_0.120_CD_0.030_CoP_0.400,0.12,0.03,0.4,Lap_Sim_constantAero_T27.m not found.,175
CL_0.130_CD_0.030_CoP_0.400,0.13,0.03,0.4,Lap_Sim_constantAero_T27.m not found.,176
CL_0.140_CD_0.030_CoP_0.400,0.14,0.03,0.4,Lap_Sim_constantAero_T27.m not found.,177
CL_0.040_CD_0.035_CoP_0.400,0.04,0.035,0.4,Lap_Sim_constantAero_T27.m not found.,178
CL_0.050_CD_0.035_CoP_0.400,0.05,0.035,0.4,Lap_Sim_constantAero_T27.m not found.,179
CL_0.060_CD_0.035_CoP_0.400,0.06,0.035,0.4,Lap_Sim_constantAero_T27.m not found.,180
CL_0.070_CD_0.035_CoP_0.400,0.07,0.035,0.4,Lap_Sim_constantAero_T27.m not found.,181
